objectId,geoPosition_____type,geoPosition__latitude,geoPosition__longitude,countryCode,postalCode,placeName,adminName1,adminName2,adminName3
nu8XPzyMtL,GeoPoint,19.4191,72.9126,IN,401201,Bhuigaon,Maharashtra,Thane,Vasai
Gtqbh3ituw,GeoPoint,19.4191,72.9126,IN,401201,Bassein,Maharashtra,Thane,Bassein
ZOQFJr7s1I,GeoPoint,19.4191,72.9126,IN,401202,Vasai Road E,Maharashtra,Thane,Vasai
xd63wbYfOn,GeoPoint,19.4191,72.9126,IN,401202,Umela,Maharashtra,Thane,Vasai
aPHyNAbQpp,GeoPoint,19.4191,72.9126,IN,401202,Bassein Road,Maharashtra,Thane,Bassein
MupO0cdQBi,GeoPoint,19.4158,72.8008,IN,401203,Umrale,Maharashtra,Thane,Vasai
e82xHVIlRQ,GeoPoint,19.4158,72.8008,IN,401203,Sopara,Maharashtra,Thane,Vasai
LSu8wBkNGt,GeoPoint,19.5992,73.1509,IN,401203,Nala,Maharashtra,Thane,Vasai
tUUMyfevBN,GeoPoint,19.4158,72.8008,IN,401203,Gass,Maharashtra,Thane,Vasai
4eILJyH7Zh,GeoPoint,19.4869,73.0277,IN,401204,Vedhe,Maharashtra,Thane,Bhiwandi
moDcgrgVSq,GeoPoint,19.4869,73.0277,IN,401204,Vajreshwari,Maharashtra,Thane,Bhiwandi
C2O2mh5bjK,GeoPoint,19.4869,73.0277,IN,401204,Khaniwali,Maharashtra,Thane,Vada
8l549brCDq,GeoPoint,19.4869,73.0277,IN,401204,Kelthan,Maharashtra,Thane,Vada
QZEn2zUY2a,GeoPoint,19.4191,72.9126,IN,401206,Ganeshpuri,Maharashtra,Thane,Bhiwandi
qFxglfKQgF,GeoPoint,19.4191,72.9126,IN,401207,Papdi,Maharashtra,Thane,Vasai
dWqkIjJYHU,GeoPoint,19.5992,73.1509,IN,401207,Naigaon,Maharashtra,Thane,Vasai
MaCwGTsIaG,GeoPoint,19.3547,72.9094,IN,401208,Vasai East IE,Maharashtra,Thane,Vasai
oLAlJDF3p3,GeoPoint,19.3547,72.9094,IN,401208,Valiv,Maharashtra,Thane,Vasai
w4cwV9P5wX,GeoPoint,19.3547,72.9094,IN,401208,Satiwai,Maharashtra,Thane,Vasai
73QOi0mDr5,GeoPoint,19.3547,72.9094,IN,401208,Sasun Navghar,Maharashtra,Thane,Vasai
ecuXF588aN,GeoPoint,19.3547,72.9094,IN,401208,Rajawali,Maharashtra,Thane,Vasai
yA7g3YVZlP,GeoPoint,19.3547,72.9094,IN,401208,Pelhar,Maharashtra,Thane,Vasai
30HCfIP5h2,GeoPoint,19.3547,72.9094,IN,401208,Kaman,Maharashtra,Thane,Vasai
PsKeBVqwjB,GeoPoint,19.3547,72.9094,IN,401208,Juchandra,Maharashtra,Thane,Vasai
dCHOnSoEkE,GeoPoint,19.3547,72.9094,IN,401208,Gokhiware,Maharashtra,Thane,Vasai
G0YuZuI0re,GeoPoint,19.4191,72.9126,IN,401209,Nallosapare E,Maharashtra,Thane,Vasai
7bNLTSFUQz,GeoPoint,19.5992,73.1509,IN,401301,Vatar,Maharashtra,Thane,Vasai
ciN8AajeQo,GeoPoint,19.1455,73.474,IN,401301,Kophrad,Maharashtra,Thane,Vasai
yR3a7ReWdU,GeoPoint,19.1455,73.474,IN,401301,Chikhal Dongre,Maharashtra,Thane,Vasai
f8LW0qQPx9,GeoPoint,19.1455,73.474,IN,401301,Agashi,Maharashtra,Thane,Vasai
